Bigram Frequency
sit amet: 5422
nunc sed: 977
nulla facilisi: 941
turpis egestas: 897
et netus: 760
netus et: 757
morbi tristique: 754
et malesuada: 746
senectus et: 738
tristique senectus: 736
habitant morbi: 733
malesuada fames: 721
fames ac: 715
pellentesque habitant: 711
adipiscing elit: 688
ac turpis: 688
consectetur adipiscing: 648
amet consectetur: 643
dolor sit: 559
morbi tincidunt: 545
ipsum dolor: 544
ut sem: 528
turpis massa: 513
arcu non: 510
id diam: 509
diam maecenas: 508
massa tincidunt: 507
ac tortor: 506
interdum velit: 504
lorem ipsum: 497
egestas sed: 497
amet nisl: 496
a diam: 495
sed risus: 494
et tortor: 493
sodales ut: 493
id aliquet: 493
ultricies mi: 491
enim ut: 491
pellentesque elit: 490
odio ut: 485
tellus in: 485
feugiat in: 480
purus sit: 479
ornare arcu: 478
tortor at: 478
felis eget: 477
duis at: 476
arcu cursus: 471
sed vulputate: 468
vitae congue: 464
eget nunc: 463
purus in: 459
sed viverra: 458
in fermentum: 456
lacus sed: 453
platea dictumst: 451
habitasse platea: 449
leo vel: 449
hac habitasse: 447
in hac: 446
nec feugiat: 442
nulla aliquet: 437
aliquam sem: 437
tempor orci: 430
in ornare: 292
arcu bibendum: 290
sed sed: 288
bibendum at: 287
faucibus in: 284
velit sed: 282
neque laoreet: 282
laoreet suspendisse: 282
pulvinar neque: 282
ullamcorper morbi: 281
mauris pharetra: 281
ullamcorper velit: 280
aliquam id: 280
vestibulum mattis: 280
non pulvinar: 279
eget mauris: 279
mattis ullamcorper: 279
eget sit: 277
sed ullamcorper: 277
lectus arcu: 276
mi eget: 276
cras fermentum: 275
ultrices sagittis: 275
aenean et: 275
varius vel: 275
amet aliquam: 275
sagittis orci: 274
ut lectus: 273
tincidunt nunc: 272
ornare aenean: 272
ornare quam: 272
at varius: 272
odio eu: 271
neque convallis: 271
aliquam ultrices: 271
gravida dictum: 271
nulla pharetra: 271
viverra nibh: 270
quam viverra: 270
penatibus et: 270
pharetra et: 270
nisl nunc: 270
porta non: 270
vel pharetra: 270
nisl rhoncus: 270
eu feugiat: 269
tincidunt id: 269
orci a: 269
gravida neque: 269
